contrast	library	term	nes	nominal_p	fdr	leading_edge_genes
SoravsNC	GO_Biological_Process_2025	Keratinocyte Differentiation (GO:0030216)	-1.77076898281	0.00373134328358	0.0218378485082	EPHA2;JAG1;ADAM9;PIP5K1A;TXNIP;CLIC4;KRT10
SoravsNC	GO_Biological_Process_2025	L-amino Acid Transport (GO:0015807)	-1.7312289445	0.00183486238532	0.0300616157178	SLC7A11;SLC7A1;SLC38A1;SLC1A4;SLC38A2;SLC7A6;SLC3A2;SLC43A2;SLC7A2;SLC38A5
SoravsNC	GO_Biological_Process_2025	Lipid Transport (GO:0006869)	1.71666702911	0.00243309002433	0.0481494228665	APOA5;MTTP;SLCO2B1;ABCA2;BLTP1;APOE;ABCC3;GM2A;ABCG8;FABP1;APOL2;SCARB1;NPC2;SLC51A;ABCA5;RBP5;ATP8B1;ABCG5;TTPA;NR1H4;APOA4;CD36;ABCC2;PLEKHA8;PCTP;PRELID3A;ACSL1
SoravsNC	GO_Biological_Process_2025	Maturation of 5.8S rRNA (GO:0000460)	-1.96984529084	0	0.0021224868654	MAK16;URB1;WDR12;EIF6;PES1;FTSJ3;RRP15;PRKDC;NOL9;EXOSC10;EXOSC4;MTREX;LAS1L;ERI1;RPF1;MPHOSPH6
SoravsNC	GO_Biological_Process_2025	Maturation of 5.8S rRNA Frm Tricistronic rRNA Trnscpt (GO:0000466)	-1.97374163052	0	0.00211072141715	UTP20;NOP14;RRS1;URB1;WDR12;PES1;FTSJ3;EXOSC2;NOL9;EXOSC8;EXOSC3;EXOSC10;RPP40;NOP9;ERI1;KRI1;EXOSC7
SoravsNC	GO_Biological_Process_2025	Maturation of LSU-rRNA (GO:0000470)	-1.98558611628	0	0.00160739554075	RPL7L1;NOP2;DDX18;MAK16;URB1;WDR12;EIF6;PES1;PAK1IP1;FTSJ3;RPF2;RRP15;RBM34;ZNHIT6;TRMT112;LAS1L
SoravsNC	GO_Biological_Process_2025	Maturation of LSU-rRNA Frm Tricistronic rRNA Trnscpt (GO:0000463)	-1.94055599079	0	0.00227626819496	RPL7L1;DDX18;URB1;WDR12;PES1;PAK1IP1;FTSJ3;RPF2;RBM34;NOL9;ZNHIT6
SoravsNC	GO_Biological_Process_2025	Maturation of SSU-rRNA (GO:0030490)	-2.15740983729	0	0	WDR43;UTP4;NOP14;DHX37;IMP4;WDR3;TSR1;NAT10;WDR46;PWP2;HEATR1;SNU13;RIOK1;DCAF13;NOL10;UTP25;NOL11;UTP6;UTP3;NGDN;RRP36;SRFBP1;NOL7;TRMT112
SoravsNC	GO_Biological_Process_2025	Maturation of SSU-rRNA Frm Tricistronic rRNA Trnscpt (GO:0000462)	-2.09224768792	0	0	WDR43;UTP20;UTP4;NOP14;DHX37;RRS1;TSR1;WDR46;PWP2;HEATR1;DCAF13;NOL10;UTP25;UTP6;TBL3;BMS1;UTP3;NGDN;RRP36;RPP40;NOP9
SoravsNC	GO_Biological_Process_2025	Mesenchymal Cell Differentiation (GO:0048762)	-1.70515388525	0.00361010830325	0.0387679991161	TGFBR3;TGFBR2;HNRNPAB;HIF1A;FGFR1;HMGA2;TGFB1;ROCK2;DDX5;LRP6;TRIM28;SLC39A6;ZFP64
